lat,long,PM 2.5,PM 10,Ozone,Nitrogen dioxide,Sufur dioxide
41.71081768,-87.59184062,33.78352154,2.864986701,0.060091636,0.016949309,0.107364189
41.71081768,-87.59441145,35.79223788,2.864986701,0.060091636,0.016949309,0.107364189
41.71081768,-87.59698227,37.49124653,2.864986701,0.060091636,0.016949309,0.107364189
41.71081768,-87.5995531,37.49130278,2.864986701,0.060091636,0.01693551,0.10798605
41.71081768,-87.60212392,40.25798551,2.864986701,0.060091636,0.017049796,0.109511039
41.71081768,-87.60469475,40.04418481,2.864986701,0.060091636,0.017049796,0.108261352
41.71081768,-87.60726557,42.43590217,2.864986701,0.070305926,0.017049796,0.108261352
41.71081768,-87.6098364,53.31130725,2.864986701,0.070305926,0.017049796,0.108101031
41.71081768,-87.61240722,53.31130164,2.864986701,0.070305926,0.017049796,0.107982457
41.71081768,-87.61497805,50.79522194,2.864986701,0.070305926,0.017062798,0.108053704
41.71081768,-87.61754887,49.89767295,2.864986701,0.087605361,0.017062798,0.108920271
41.71081768,-87.6201197,1.718044244,2.864986701,0.087605361,0.017062798,0.108920271
41.71081768,-87.62269052,1.718044244,2.864986701,0.087605361,0.017062798,0.109164749
41.71081768,-87.62526135,1.718044244,2.864986701,0.087605361,0.017062798,0.109164749
41.71081768,-87.62783217,1.718044244,2.864986701,0.087605361,0.015565573,0.109212618
41.71081768,-87.630403,1.718044244,2.864986701,0.087605361,0.011783697,0.109212618
41.71081768,-87.63297382,1.104919826,2.864986701,0.087605361,0.011783697,0.109212618
41.71081768,-87.63554465,1.104919826,2.864986701,0.087605361,0.011783697,0.107818821
41.71081768,-87.63811547,1.104919826,2.864986701,0.087605361,0.009851937,0.107818821
41.71081768,-87.6406863,1.104919826,2.864986701,0.087605361,0.009851937,0.107818821
41.71081768,-87.64325712,1.104919826,2.864986701,0.084476781,0.009851937,0.107818821
41.71081768,-87.64582795,1.104919826,2.864986701,0.084476781,0.010842864,0.107818821
41.71081768,-87.64839877,1.104919826,2.864986701,0.084476781,0.012183938,0.108857826
41.71081768,-87.6509696,1.104919826,2.864986701,0.084476781,0.011178758,0.108404954
41.71081768,-87.65354042,1.104919826,2.864986701,0.084476781,0.0180089,0.108628763
41.71081768,-87.65611125,1.104919826,2.864986701,0.084476781,0.0180089,0.108761006
41.71081768,-87.65868207,1.104919826,2.864986701,0.084476781,0.0180089,0.108761006
41.71081768,-87.6612529,1.104919826,2.864986701,0.084476781,0.0180089,0.108761006
41.71081768,-87.66382372,1.104919826,2.864986701,0.084476781,0.0180089,0.108501663
41.71081768,-87.66639455,1.104919826,2.864986701,0.084476781,0.018244777,0.256316855
41.71081768,-87.66896537,1.104919826,2.864986701,0.084476781,0.018226299,0.240451403
41.71081768,-87.6715362,1.104919826,2.864986701,0.084476781,0.018219249,0.242835097
41.71081768,-87.67410702,1.104919826,2.864986701,0.084476781,0.018047635,0.242739264
41.71081768,-87.67667785,1.104919826,2.864986701,0.084476781,0.018047635,0.242739264
41.71081768,-87.67924867,1.104919826,2.864986701,0.084476781,0.018087312,0.243386443
41.71081768,-87.6818195,1.104919826,2.864986701,0.084476781,0.018087312,0.243386443
41.71081768,-87.68439032,1.104919826,2.864986701,0.084476781,0.018268487,0.242893434
41.71081768,-87.68696114,1.104919826,2.864986701,0.084476781,0.018268487,0.242893434
41.71081768,-87.68953197,1.104919826,2.864986701,0.084476781,0.019977477,0.242893434
41.71081768,-87.69210279,1.104919826,2.864986701,0.032502667,0.019977477,0.242893434
41.71081768,-87.69467362,1.104919826,2.864986701,0.032502667,0.019977477,0.242893434
41.71081768,-87.69724444,1.104919826,2.864986701,0.032502667,0.019977477,0.242893434
41.71081768,-87.69981527,1.104919826,2.864986701,0.032502667,0.019977477,0.242893434
41.71081768,-87.70238609,1.104919826,2.864986701,0.032502667,0.019977477,0.314239275
41.71081768,-87.70495692,1.104919826,2.864986701,0.032502667,0.019977477,0.314239275
41.71081768,-87.70752774,1.104919826,2.864986701,0.032502667,0.019977477,0.314239275
41.71081768,-87.71009857,1.104919826,2.864986701,0.032502667,0.019977477,0.314239275
41.71081768,-87.71266939,1.104919826,2.864986701,0.032502667,0.019977477,0.314239275
41.71081768,-87.71524022,1.104919826,2.864986701,0.032502667,0.019977477,0.314239275
41.71081768,-87.71781104,1.104919826,2.864986701,0.032502667,0.019689261,0.271411978
41.71081768,-87.72038187,1.104919826,2.864986701,0.032502667,0.019689261,0.271411978
41.71081768,-87.72295269,1.104919826,2.864986701,0.032502667,0.019689261,0.271411978
41.71081768,-87.72552352,1.104919826,2.864986701,0.032502667,0.019709287,0.285119016
41.71081768,-87.72809434,1.104919826,2.864986701,0.032502667,0.019709287,0.291100512
41.71081768,-87.73066517,1.104919826,2.864986701,0.032502667,0.019709287,0.291100512
41.71081768,-87.73323599,1.104919826,2.864986701,0.032502667,0.019709287,0.291100512
41.71081768,-87.73580682,1.104919826,2.864986701,0.032502667,0.019733355,0.295892131
41.71081768,-87.73837764,1.104919826,2.864986701,0.032502667,0.019733355,0.294507013
41.71081768,-87.74094847,1.104919826,2.864986701,0.032502667,0.019733355,0.294507013
41.71081768,-87.74351929,1.104919826,2.864986701,0.032502667,0.019733355,0.294507013
41.71081768,-87.74609012,1.104919826,2.864986701,0.032502667,0.019703491,0.278506395
41.71081768,-87.74866094,1.104919826,2.864986701,0.032502667,0.019703491,0.278506395
41.71081768,-87.75123177,1.104919826,2.864986701,0.032502667,0.019703491,0.278506395
41.71081768,-87.75380259,1.104919826,2.864986701,0.032502667,0.019703491,0.278506395
41.71081768,-87.75637342,1.104919826,2.864986701,0.032502667,0.019703491,0.278506395
41.71081768,-87.75894424,1.104919826,2.864986701,0.032502667,0.019703491,0.278506395
41.71081768,-87.76151507,1.104919826,2.864986701,0.032502667,0.019703491,0.278506395
41.71081768,-87.76408589,1.104919826,2.864986701,0.032502667,0.019703491,0.278506395
41.71081768,-87.76665672,1.104919826,2.864986701,0.032502667,0.019703491,0.278506395
41.71081768,-87.76922754,1.104919826,2.864986701,0.032502667,0.019703491,0.278506395
41.71081768,-87.77179837,1.104919826,2.864986701,0.032502667,0.019703491,0.278506395
41.71081768,-87.77436919,1.104919826,2.864986701,0.032502667,0.019703491,0.278506395
41.71081768,-87.77694002,1.104919826,2.864986701,0.032502667,0.019703491,0.278506395
